tiempo_ms,R_NTC_Ohm,T_celsius
0,50235.29,41.34
1001,54402.51,39.36
2002,58724.83,37.48
3004,63142.85,35.72
4005,66417.92,34.50
5007,69379.85,33.46
6008,73252.03,32.17
7011,76779.67,31.07
8012,79824.57,30.16
9014,81428.57,29.70
10015,85700.94,28.51
11017,88461.54,27.78
12018,90392.16,27.29
13020,92400.00,26.79
14021,94489.80,26.28
15023,95567.01,26.02
16024,96666.67,25.76
17027,98936.17,25.24
18028,101304.35,24.71
19030,101304.35,24.71
20031,102527.47,24.44
21032,105056.18,23.89
22034,105056.18,23.89
23035,106363.64,23.62
24038,109069.77,23.06
25039,106363.64,23.62
26041,109069.77,23.06
27042,109069.77,23.06
28044,109069.77,23.06
29045,110470.59,22.78
30048,110470.59,22.78
31049,111904.77,22.49
32051,110470.59,22.78
33052,110470.59,22.78
34054,111904.77,22.49
35055,113373.50,22.20
36057,111904.77,22.49
37059,113373.50,22.20
38061,113373.50,22.20
39062,113373.50,22.20
40064,113373.50,22.20
41065,113373.50,22.20
42066,113373.50,22.20
43068,113373.50,22.20
44070,113373.50,22.20
45072,114878.05,21.91
46073,113373.50,22.20
47075,116419.75,21.62
48076,113373.50,22.20
49078,116419.75,21.62
50079,113373.50,22.20
51082,114878.05,21.91
52083,114878.05,21.91
53085,113373.50,22.20
54086,114878.05,21.91
55088,114878.05,21.91
56089,116419.75,21.62
57091,113373.50,22.20
58093,113373.50,22.20
59095,116419.75,21.62
60096,113373.50,22.20
61097,114878.05,21.91
62099,114878.05,21.91
63100,114878.05,21.91
64102,114878.05,21.91
65104,116419.75,21.62
66106,113373.50,22.20
